Name,Link,Price,Image URL,Gender Tag,Category Tag
Air Jordan 11 Retro 'Gamma',https://www.nike.com/ph/t/air-jordan-11-retro-gamma-shoes-gMjfzz/CT8012-047,"₱11,895","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/df365e58-ad9e-4930-a0a5-c1eb2e95f268/AIR+JORDAN+11+RETRO.png",N/A,N/A
Nike Academy Team,https://www.nike.com/ph/t/academy-team-backpack-Fj31bT/DV0761-011,"₱2,595",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ba066857-e9d9-49e1-8db9-13670eb120c1/NK+ACDMY+TEAM+BKPK+2.3.png,N/A,N/A
Nike Tiempo Legend 10 Elite,https://www.nike.com/ph/t/tiempo-legend-10-elite-low-top-football-boot-F47h5D/DV4328-003,"₱11,066",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ba3d5431-7d4f-466f-992c-1adf5e2c1810/LEGEND+10+ELITE+FG.png,N/A,N/A
Nike Zoom Vomero 5,https://www.nike.com/ph/t/zoom-vomero-5-shoes-p73FBC/HF1877-101,"₱5,637",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/41c9fbee-12e1-495f-95e5-66d8907e5367/W+NIKE+ZOOM+VOMERO+5.png,N/A,N/A
Nike Pegasus 41 'Eliud Kipchoge',https://www.nike.com/ph/t/pegasus-41-eliud-kipchoge-road-running-shoes-11ScK2/HJ7037-600,"₱7,895",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/36effcab-4862-4d64-a838-4ff1ce659253/AIR+ZOOM+PEGASUS+41+EK.png,N/A,N/A
Nike Zoom Vomero 5,https://www.nike.com/ph/t/zoom-vomero-5-shoes-SJtX6g/FD0884-025,"₱8,895",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/525c15c8-ff31-4a90-b77f-259e4fecbc96/W+NIKE+ZOOM+VOMERO+5.png,N/A,N/A
Nike Shox TL,https://www.nike.com/ph/t/shox-tl-shoes-with-reflective-design-accents-niXFsJBb/IH4466-095,"₱6,177",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/a88e2bef-3526-4287-b8fc-245126b31838/NIKE+SHOX+TL+PRINT.png,N/A,N/A
Nike Vomero 18,https://www.nike.com/ph/t/vomero-18-road-running-shoes-Vn57Nq/HM6804-112,"₱8,395",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/9b7875be-4c1a-47e1-8d37-5f0040105e7f/W+NIKE+VOMERO+18.png,N/A,N/A
Nike Pegasus 41,https://www.nike.com/ph/t/pegasus-41-road-running-shoes-RZm89S/FD2722-501,"₱7,395",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/20ec15db-5080-40e3-9b1f-8af886de0f1c/AIR+ZOOM+PEGASUS+41.png,N/A,N/A
Nike Pegasus 41,https://www.nike.com/ph/t/pegasus-41-road-running-shoes-SKDkNs/FD2723-302,"₱7,395",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/19df7ddf-9d56-4481-b846-576be04ea978/W+AIR+ZOOM+PEGASUS+41.png,N/A,N/A
Nike Vomero 18,https://www.nike.com/ph/t/vomero-18-road-running-shoes-LPD05EGq/IR0784-451,"₱8,395",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/25329f12-0e3a-4641-a94f-325bbca68811/W+NIKE+VOMERO+18.png,N/A,N/A
Nike Zoom Vomero 5,https://www.nike.com/ph/t/zoom-vomero-5-shoes-8m9brL/FJ4151-003,"₱8,006",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4ee1d6f1-5efc-4e2a-84a6-7e40b02de73d/NIKE+ZOOM+VOMERO+5.png,N/A,N/A
Nike Court Vision Low Next Nature,https://www.nike.com/ph/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-001,"₱1,737",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/820fbfd3-afd1-4f8f-b3b4-d707e851d9d6/NIKE+COURT+VISION+LO+NN.png,N/A,N/A
Air Jordan 1 Low,https://www.nike.com/ph/t/air-jordan-1-low-shoes-6Q1tFM/553558-040,"₱6,395","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3caf23f9-e189-460e-b5b9-d7a57f1d32b4/AIR+JORDAN+1+LOW.png",N/A,N/A
Kobe 9 Low,https://www.nike.com/ph/t/kobe-9-low-basketball-shoes-Up4tSTpB/IH1400-600,"₱10,295",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4776e12d-4b91-448a-878c-9c6b1553691c/KOBE+IX+EM+PROTRO.png,N/A,N/A
Nike Dunk Low,https://www.nike.com/ph/t/dunk-low-shoes-587zC1/HF1985-400,"₱3,847",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/9f660300-76af-464a-80e2-74bd694383cf/W+NIKE+DUNK+LOW.png,N/A,N/A
Kobe IX Elite Low Protro,https://www.nike.com/ph/t/kobe-ix-elite-low-protro-basketball-shoes-55edJFf8/IM0465-500,"₱11,995",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b358a2c5-4168-4825-a8ef-f038e00e0867/KOBE+IX+ELITE+LOW+PROTRO.png,N/A,N/A
